,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2050,2.3357933576018297,2.0260901256163493,2.0720417112969756,1.7940179588890242,1.7068488053877882,2.3375722713782543,3.782735890091312,2.229439677596749,2.5635753154395218,2.1166241749686443,1.839898242244151,2.8215179443359375,3.0437201096588162,1.7839718654357928,1.5656659682624412,1.869504037082237,2.154715689139541
tas,2051,2.4148255571001394,2.0711534991613028,2.0051791049963774,1.796677769909574,1.915273042068468,2.4928001574130434,3.5765019179502295,2.403297107099476,2.659285902953774,2.1823043122627204,1.9689742190099035,2.9912033081054688,3.2233753423001446,2.002104387247764,1.6581941031187928,1.9243024578860524,2.292367596791171
tas,2052,2.399670367246273,2.2154605789174915,2.1326372278782153,1.7521251286976138,1.6306688497366697,2.487013793449018,3.466577866091361,2.558064980643304,2.7899001462177515,2.181780037701278,2.00780450352345,3.0499699115753174,3.2989713592281666,1.9499071962863184,1.9162659555170478,2.0263159129433035,2.286401420188303
tas,2053,2.5579374239600177,2.2685573246214354,2.2896098481291745,1.760445499946665,1.6650327672697405,2.2784841193643928,3.55120799143144,2.689995138724219,3.0158819794424594,2.2012375338439227,1.9582877036158568,2.9975178241729736,3.2711271354644347,1.7978945043431385,1.9066140175119226,2.0688541728453345,2.456478946646058
tas,2054,2.406929692604777,2.2316114264617966,2.3063023874357214,1.8703720815347065,1.4877318918385118,2.324199812052702,3.7096516018323626,2.454075574513368,2.6707820172276513,2.0974766250734356,2.0141010605008867,2.8978042602539062,3.291551908929359,1.838557072605776,2.09297416615631,1.9556254020272708,2.4895079425256577
tas,2055,2.6591252741404126,2.343170863689778,2.2231594743930856,1.9755130256722282,1.6301471676189105,2.7405625605454937,3.6000729386986876,2.456522760431374,2.8259884995713995,2.121432959322713,2.041353621478578,3.02508544921875,3.381419120581564,2.0318896533674766,2.027092310258984,2.1416544037596217,2.3189184655803814
tas,2056,2.7305425199178948,2.5142823900884537,2.3147285221738088,,1.510593015014834,2.6377973538826134,3.7119137803730333,2.630992146002569,2.8130997537850675,2.1587708783088053,2.161559426229966,2.983159303665161,3.4352282848467817,2.0954903256096222,,2.242924589053004,2.397681873760831
tas,2057,2.7402989990235085,2.596036526720918,2.4147642692695115,,1.8623837343522542,2.6765887906660453,3.8291630917822252,2.908716219058339,2.8844667203091157,2.1295777926992514,2.1992214798719183,2.9005508422851562,3.370324158947014,1.818571817044263,,2.158733255389805,2.5524813136799573
tas,2058,2.717956370666007,2.6288806658785404,2.430609775084676,,1.92355365994662,2.790016521027629,3.882615462552247,2.6927388184931353,2.9806014064520383,2.222566276245852,2.2236829089715306,3.108484983444214,3.3918029612202503,1.6876460134046596,,2.0046964669617657,2.57674593885199
tas,2059,2.937534361527805,2.4402672869140694,2.5070072975290714,,1.695846035174758,2.856415746773763,3.9973101423330206,2.7871117307324815,3.0974088840887126,2.2606146013699706,2.2384893433246162,2.998682737350464,3.503406438086548,1.9449118134220527,,2.2319090087825515,2.4017066692868525
tas,2060,2.852515331924939,2.550406805776973,2.511666117593729,,1.7996002354301293,2.7393975408362032,4.138700854273158,2.9194417967995228,3.2099924778278677,2.375848632196522,2.2507670899436456,2.9821929931640625,3.583401441690578,2.1917668488479953,,2.3622274133213685,2.3491561800712994
tas,2061,2.9705976480286815,2.6139482308276363,2.7141620873355286,,2.02520057740792,2.9413211369893113,4.101907228167609,3.126814090565503,3.2166141729086064,2.3027815272865126,2.3091775128887995,3.1385726928710938,3.6398452989748336,2.072838952220446,,2.5032282465731157,2.6097553003409217
