,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0
tas,2041,2.161380028574802,2.015733896585047,1.97782660746221,1.236055898819752,2.470323329074276,3.036022462114351,2.582805711226096,2.508032306392039,1.7893321748550999,2.333318469921456,1.9510187482160528,1.795573236013259,2.3327763080596924,2.90752577339318,1.5252570352443182,1.7422089393975853,2.244374542821371
tas,2042,2.131122235938591,2.053864620834171,1.969132396979371,1.2203424158502922,2.575124560738999,3.062143876867964,2.185650510444693,2.4667238624828607,1.6875469709443252,2.3568270387359243,2.18488662062677,1.8130648882255969,2.46557354927063,2.9491605925267756,1.4655858836368292,1.8156048239866796,2.274713183254647
tas,2043,2.3215831867306065,2.196042291522531,1.9819507852775,1.4379344885715806,2.403497247205356,3.2750067889300567,2.237895503848146,2.645600653857656,1.7732067037230574,2.4810258876406217,1.9859559836710143,1.822338145909569,2.679046630859375,3.024262828329057,1.567119344047858,2.0249250975816486,2.247684304661012
tas,2044,2.2763329100709533,2.246104713015967,2.0392217904486736,1.4797435485804016,2.4960727468271386,3.388903169910369,2.4037410304740283,2.7905442875444115,1.8940273445759364,2.530494371927721,2.1090027881654834,1.9499789034338022,2.8013076782226562,2.99712003097901,1.6906278007089384,1.9767222701884037,2.266908843032207
tas,2045,2.3988394513852476,2.2083990318511106,2.149766753302842,1.4213538437402253,2.6251194005047154,3.25536041948223,2.4384874695417458,2.554476877623808,1.891080779827978,2.4668400776893358,2.1435880513291985,2.011929787290512,2.6989238262176514,3.169768831034579,1.9313269023519648,1.7863323608537485,2.183025938697488
tas,2046,2.4153721157638537,2.4060136618971533,2.1462496271771365,1.6982359329484638,2.528821604951048,3.3722347782779516,2.752836885149757,2.6210058538081618,1.9043247119145832,2.5255261138060754,2.232665241982474,2.0534841721534085,2.66015887260437,3.16769826575135,1.9001118196644124,1.934770008323909,2.311316554656377
tas,2047,2.3747729932211095,2.282844086802162,2.175161127271972,1.7005295383060475,2.6574141238139126,3.6437973368005694,2.8785856908820713,2.7673478125720266,1.9576010674244866,2.5806038414894013,2.168590204807927,2.023872642627282,2.8367412090301514,3.1484337402425333,1.5090016526607286,1.9099358417915557,2.5266473787316195
tas,2048,2.4705848072420102,2.2217968489636397,2.257864545890546,1.560234656648736,2.8166197029405,3.4425421894785444,2.4960848199697048,2.8541462002360447,2.0188907833053094,2.801499374512398,2.3128845770401085,2.124664205317482,2.935816526412964,3.2826658060896867,1.6386640357884896,1.8813319620176496,2.424918539186379
tas,2049,2.600793245868715,2.3351449247121536,2.3259745418784283,1.8423788125506821,2.848030658192409,3.5247875849023274,2.559814360246591,3.041749585825395,2.0312080604204255,2.702862805680354,2.4571227647300304,2.265604432923894,2.8434627056121826,3.3197470783810226,1.8550458528878646,2.0038504843268896,2.4431313558575973
tas,2050,2.7027226931415576,2.4086630434192293,2.3724849603151434,1.7394566477947866,2.7009628186664116,3.629288476112824,2.6347505299626213,3.3116546900250654,2.313944536972533,2.80049517657172,2.4289931151170188,2.1496921690205304,2.981053590774536,3.2303251760737717,2.261699925951651,2.089147475511259,2.5716072601556164
