,year,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CAMS-CSM1-0,CESM2-WACCM,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-g3,FIO-ESM-2-0,INM-CM4-8,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3
tas,2066,2.379051011992933,1.9183524114691057,1.6150683795154872,1.416511551276732,2.255070829717667,2.882218148638946,2.1634985475866935,2.391225675295862,1.2900950268987732,2.231233507617977,1.5804951802129732,2.322545289993286,2.9144672036342407,1.602905324354893,1.467823977797778,1.9897866893341387,2.0297654187643794
tas,2067,2.55626486381432,1.989586548439173,1.7019562112805506,1.3537114091751004,2.3648109133889172,2.829978733297073,2.2736281711167643,2.312662707022502,1.4801261863696784,2.149443939522707,1.607245223000864,2.2671051025390625,2.974710676169986,1.7871898561925121,1.520270872470557,1.9902227512490545,2.1668407422628015
tas,2068,2.5180043389229305,1.9492496680110396,1.7609170825861564,1.252910206170725,2.4857387327799785,2.8090200431381334,2.003928056029158,2.602363428896401,1.4698746673782732,2.2043817196988207,1.577977253412134,2.2815983295440674,2.798598342775449,1.355374181393131,1.7290572761759033,2.004274826838445,2.2172011110770504
tas,2069,2.4300645508478786,2.170058086476184,1.7206566157679977,1.1239942694202039,2.516446915217486,2.973295047600056,2.136906810983954,2.441151315446698,1.3662457429645325,2.280777858915078,1.5378895069051832,2.283602476119995,2.906473947356299,1.2953675426384592,1.587388234322712,2.0491645183863674,2.078158244616849
tas,2070,2.378300375483628,2.1337113379991024,1.765311938156188,1.2968310752136223,2.377596616807049,2.991338441799987,2.2671404835625424,2.290877409044209,1.5769361260588113,2.172256702557045,1.5585591937154202,2.4248530864715576,2.8083961277733067,1.4572252868169688,1.5509153231890735,1.8553438541168294,1.9406939116981619
tas,2071,2.556804921668951,2.1237996946884152,1.7126731488219349,1.40383343703094,2.404623340100912,2.9002289984307104,2.1357135839145323,2.5018326117418184,1.3788183766285205,2.3208207172393003,1.578323055015029,2.3600921630859375,2.752620971900692,1.5672145339858712,1.5631585019155143,1.6918344359338562,2.052800074819918
tas,2072,2.2949178870582707,1.9358028488180423,1.707687451962845,1.3394206245319822,2.464731815226912,2.8961238573073587,2.068110523623446,2.3660835293774958,1.3940933371140194,2.3215083494622917,1.6456692710871959,2.2171401977539062,2.7967130830983016,1.8120580925769663,1.5377854911000337,1.7168123613732718,2.0131003377860472
tas,2073,2.4167706188560865,2.0150073772199115,1.7777400135711237,1.501530249572004,2.3305896205824106,2.9519581790121188,2.12740582989872,2.238566917567468,1.5647174561837194,2.3816494118064213,1.7202964323507406,2.3322906494140625,2.92761612573905,1.6980495476947937,1.6130025764228197,1.770087271226269,2.0427806544816085
tas,2074,2.405360971720659,2.170992973708735,1.7051928170994681,1.5044798075961079,2.4451673986942857,3.002762163579419,2.2835948611866237,2.320361612620156,1.3873853525150917,2.3205777048138714,1.637886169203398,2.377629518508911,2.871618011938016,1.4768675615695201,1.4604284667581642,1.7493295386512575,2.208137612127748
tas,2075,2.344262997579785,2.036376868551111,1.6048767611561725,1.2931608523644655,2.332410121061784,2.9164440031927037,2.176828080796303,2.3015487268192203,1.3336973031253005,2.0566609681184502,1.6096786527445108,2.3054885864257812,2.874837636980596,1.4092958936125701,1.4336961269540704,1.9318350598654963,2.075544228460918
